127.0.0.1 - - [28/Mar/2014:12:28:31 +1100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:32 +1100] "GET /Product_Rating_System/ HTTP/1.1" 200 11702
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:32 +1100] "GET /Product_Rating_System/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:32 +1100] "GET /Product_Rating_System/js/foundation.reveal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:32 +1100] "GET /Product_Rating_System/js/foundation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:32 +1100] "GET /Product_Rating_System/js/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:32 +1100] "GET /Product_Rating_System/css/foundation.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:32 +1100] "GET /Product_Rating_System/js/customer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:32 +1100] "GET /Product_Rating_System/img/sony-xperia-sp-c5303-white.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:32 +1100] "GET /Product_Rating_System/img/samsung-galaxy-s4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:32 +1100] "GET /Product_Rating_System/img/samsung-galaxy-s5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:32 +1100] "GET /Product_Rating_System/img/apple-iphone-5c.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:32 +1100] "GET /Product_Rating_System/img/lg-google-nexus-5-d821-16gb-black.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:32 +1100] "GET /Product_Rating_System/img/nokia-lumia-1020-4g-lte-32gb-white.jpg HTTP/1.1" 200 20352
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:36 +1100] "GET /Product_Rating_System/ HTTP/1.1" 200 11702
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:36 +1100] "GET /Product_Rating_System/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:36 +1100] "GET /Product_Rating_System/js/customer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:36 +1100] "GET /Product_Rating_System/img/samsung-galaxy-s5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:36 +1100] "GET /Product_Rating_System/js/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:36 +1100] "GET /Product_Rating_System/css/foundation.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:36 +1100] "GET /Product_Rating_System/js/foundation.reveal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:36 +1100] "GET /Product_Rating_System/img/sony-xperia-sp-c5303-white.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:36 +1100] "GET /Product_Rating_System/js/foundation.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:36 +1100] "GET /Product_Rating_System/img/samsung-galaxy-s4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:36 +1100] "GET /Product_Rating_System/img/apple-iphone-5c.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:36 +1100] "GET /Product_Rating_System/img/lg-google-nexus-5-d821-16gb-black.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:36 +1100] "GET /Product_Rating_System/img/nokia-lumia-1020-4g-lte-32gb-white.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:37 +1100] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:41 +1100] "GET /Product_Rating_System/Details?detail=%7B%22id%22%3A%221%22%2C%22os%22%3A%22Qualcomm+2.5GHz+quad-core+processor%22%2C%22price%22%3A%22%24722.00%22%2C%22color%22%3A%22Black%22%2C%22name%22%3A%22Samsung+Galaxy+S5+4G+LTE+SM-G900%22%2C%22img%22%3A%22samsung-galaxy-s5.jpg%22%2C%22processor%22%3A%223GB%22%2C%22momery%22%3A%2232GB%22%7D HTTP/1.1" 200 2703
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:43 +1100] "POST /Product_Rating_System/Details HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:46 +1100] "GET /Product_Rating_System/ HTTP/1.1" 200 11764
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:52 +1100] "GET /Product_Rating_System/ HTTP/1.1" 200 11703
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:53 +1100] "GET /Product_Rating_System/css/normalize.css HTTP/1.1" 200 7583
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:53 +1100] "GET /Product_Rating_System/css/foundation.min.css HTTP/1.1" 200 149359
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:53 +1100] "GET /Product_Rating_System/js/jquery-1.11.0.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:53 +1100] "GET /Product_Rating_System/js/foundation.js HTTP/1.1" 200 17317
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:53 +1100] "GET /Product_Rating_System/js/customer.js HTTP/1.1" 200 3480
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:53 +1100] "GET /Product_Rating_System/js/foundation.reveal.js HTTP/1.1" 200 13251
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:53 +1100] "GET /Product_Rating_System/img/apple-iphone-5c.jpg HTTP/1.1" 200 24027
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:53 +1100] "GET /Product_Rating_System/img/samsung-galaxy-s4.jpg HTTP/1.1" 200 24618
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:53 +1100] "GET /Product_Rating_System/img/lg-google-nexus-5-d821-16gb-black.jpg HTTP/1.1" 200 25039
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:53 +1100] "GET /Product_Rating_System/img/sony-xperia-sp-c5303-white.jpg HTTP/1.1" 200 20154
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:53 +1100] "GET /Product_Rating_System/img/samsung-galaxy-s5.jpg HTTP/1.1" 200 30126
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:53 +1100] "GET /Product_Rating_System/img/nokia-lumia-1020-4g-lte-32gb-white.jpg HTTP/1.1" 200 20352
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:28:58 +1100] "GET /Product_Rating_System/Details?detail=%7B%22id%22%3A%221%22%2C%22os%22%3A%22Qualcomm+2.5GHz+quad-core+processor%22%2C%22price%22%3A%22%24722.00%22%2C%22color%22%3A%22Black%22%2C%22name%22%3A%22Samsung+Galaxy+S5+4G+LTE+SM-G900%22%2C%22img%22%3A%22samsung-galaxy-s5.jpg%22%2C%22processor%22%3A%223GB%22%2C%22momery%22%3A%2232GB%22%7D HTTP/1.1" 200 2736
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:01 +1100] "POST /Product_Rating_System/Details HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:05 +1100] "GET /Product_Rating_System/ HTTP/1.1" 200 11764
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:14 +1100] "GET /Product_Rating_System/ HTTP/1.1" 200 11764
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:14 +1100] "GET /Product_Rating_System/css/normalize.css HTTP/1.1" 200 7583
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:14 +1100] "GET /Product_Rating_System/css/foundation.min.css HTTP/1.1" 200 149359
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:14 +1100] "GET /Product_Rating_System/js/jquery-1.11.0.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:14 +1100] "GET /Product_Rating_System/js/foundation.js HTTP/1.1" 200 17317
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:14 +1100] "GET /Product_Rating_System/js/customer.js HTTP/1.1" 200 3480
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:14 +1100] "GET /Product_Rating_System/js/foundation.reveal.js HTTP/1.1" 200 13251
0:0:0:0:0:0:0:1 - - [28/Mar/2014:12:29:15 +1100] "GET /Product_Rating_System/img/samsung-galaxy-s5.jpg HTTP/1.1" 200 30126
